household_id,distributor_id,pincode,last_booking_date,request_date,days_since_last_booking,is_bpl,urgency,crisis_level,cylinders_requested,stock_at_distributor,queue_position,location_changes_30d,booking_gap_days,target_priority_score,target_expected_wait_hours
hh-000047,dist-20,400001,18-02-2026,18-02-2026,38,0,regular,normal,1,25,65,0,38,61.35,19.73
hh-000048,dist-14,431001,24-02-2026,01-03-2026,32,0,regular,normal,1,174,35,0,24,57.69,10.73
hh-000049,dist-19,431001,03-03-2026,05-03-2026,25,1,bpl,alert,1,126,73,0,19,89.59,18.93
hh-000050,dist-6,422001,24-01-2026,27-01-2026,63,1,bpl,normal,1,78,72,0,60,94.48,18.79
hh-000051,dist-18,411001,01-02-2026,05-02-2026,55,0,regular,normal,1,64,52,0,51,55.02,16.32
hh-000052,dist-17,431001,08-02-2026,13-02-2026,48,1,bpl,normal,1,72,30,0,45,86.36,12.44
hh-000053,dist-6,411001,09-01-2026,09-01-2026,78,1,bpl,alert,1,80,13,1,74,95.35,6.51
hh-000054,dist-18,411001,08-02-2026,10-02-2026,48,0,bpl,normal,1,133,14,1,39,68.02,9.03
hh-000055,dist-6,400001,16-03-2026,18-03-2026,12,0,bpl,normal,1,155,81,0,10,50.05,23.75
hh-000056,dist-3,411001,01-02-2026,04-02-2026,55,0,medical,normal,1,141,49,0,48,78.44,15.44
hh-000057,dist-10,440001,15-01-2026,16-01-2026,72,0,regular,alert,1,62,34,0,70,63.32,15.31
hh-000058,dist-1,422001,05-03-2026,10-03-2026,23,0,regular,normal,1,124,10,0,19,52.32,5.77
hh-000059,dist-7,422001,04-03-2026,06-03-2026,24,1,medical,normal,1,23,22,0,15,95.97,8.8
hh-000060,dist-15,400001,03-03-2026,03-03-2026,25,0,regular,normal,1,120,11,0,19,53.47,5.89
hh-000061,dist-3,411001,14-01-2026,18-01-2026,73,0,regular,normal,2,180,106,0,73,57.2,25.7
hh-000062,dist-15,431001,21-02-2026,24-02-2026,35,1,bpl,normal,1,97,53,0,25,90.88,13.87
hh-000063,dist-16,431001,19-03-2026,19-03-2026,9,0,regular,alert,1,72,42,0,3,40.94,14.1
hh-000064,dist-18,422001,04-02-2026,09-02-2026,52,1,bpl,normal,1,21,27,0,50,92.86,11.4
hh-000065,dist-16,400001,07-02-2026,10-02-2026,49,0,medical,alert,1,11,71,0,46,94.83,21.19
hh-000066,dist-4,416001,20-02-2026,24-02-2026,36,0,regular,normal,1,131,61,0,28,58.6,18.28
hh-000067,dist-17,416001,01-02-2026,05-02-2026,55,0,regular,normal,1,137,35,1,51,55.86,9.7
hh-000068,dist-16,411001,04-02-2026,07-02-2026,52,1,bpl,normal,1,90,112,0,49,86.37,25.01
hh-000069,dist-2,431001,26-02-2026,28-02-2026,30,0,regular,alert,1,174,20,0,30,70.28,11.15
hh-000070,dist-4,422001,10-03-2026,15-03-2026,18,0,medical,normal,1,47,10,0,14,63.75,11.44
hh-000071,dist-3,431001,01-03-2026,03-03-2026,27,0,regular,normal,1,132,112,0,18,62.14,28.31
hh-000072,dist-8,416001,08-02-2026,10-02-2026,48,0,medical,alert,1,50,89,0,48,92.84,23.54
hh-000073,dist-12,431001,09-02-2026,13-02-2026,47,1,bpl,normal,1,52,11,0,41,86.83,6.77
hh-000074,dist-5,411001,23-03-2026,27-03-2026,5,1,regular,normal,1,81,87,0,4,40.56,25.19
hh-000075,dist-10,416001,02-03-2026,07-03-2026,26,0,regular,normal,2,131,14,0,17,53.88,9.46
hh-000076,dist-10,400001,17-02-2026,18-02-2026,39,0,regular,normal,1,20,117,0,32,61.3,29.89
hh-000077,dist-20,431001,04-02-2026,07-02-2026,52,1,bpl,normal,1,43,81,0,42,86.92,21.04
hh-000078,dist-2,440001,01-03-2026,02-03-2026,27,1,bpl,alert,1,59,17,0,22,86.32,7.72
hh-000079,dist-9,422001,31-01-2026,03-02-2026,56,0,regular,alert,1,27,19,0,53,67.1,10.36
hh-000080,dist-18,431001,11-03-2026,12-03-2026,17,0,medical,normal,1,180,34,0,7,66.78,11.19
hh-000081,dist-16,400001,14-02-2026,14-02-2026,42,0,regular,normal,1,170,106,0,38,55.82,26.13
hh-000082,dist-2,431001,18-02-2026,19-02-2026,38,1,regular,normal,1,102,86,2,30,71.25,22.7
hh-000083,dist-14,416001,14-01-2026,19-01-2026,73,0,medical,normal,1,102,28,0,70,81.13,8.57
hh-000084,dist-12,440001,03-03-2026,03-03-2026,25,0,regular,normal,2,124,12,0,15,47.19,5.56
hh-000085,dist-11,411001,29-01-2026,02-02-2026,58,0,regular,normal,1,158,28,1,55,55.93,11.87
hh-000086,dist-1,431001,04-03-2026,08-03-2026,24,1,regular,normal,1,177,111,0,24,68.57,28.77
hh-000087,dist-11,400001,19-02-2026,20-02-2026,37,1,medical,alert,1,129,58,0,29,96.35,12.98
hh-000088,dist-20,400001,02-03-2026,07-03-2026,26,0,regular,normal,1,15,8,3,20,54.29,12.08
hh-000089,dist-15,400001,11-03-2026,14-03-2026,17,0,regular,normal,1,157,71,0,11,46.92,20.38
hh-000090,dist-17,440001,11-02-2026,13-02-2026,45,1,bpl,normal,1,149,93,1,39,86.25,22.02
hh-000091,dist-15,422001,11-02-2026,14-02-2026,45,1,bpl,normal,1,47,88,1,44,90.42,23.29
hh-000092,dist-4,416001,15-02-2026,18-02-2026,41,0,regular,normal,1,92,86,0,36,63.67,19.56
hh-000093,dist-2,431001,06-03-2026,10-03-2026,22,0,regular,normal,1,65,109,0,14,45.43,31.55
hh-000094,dist-8,422001,14-02-2026,16-02-2026,42,0,regular,alert,1,14,78,1,38,66.14,25.09
hh-000095,dist-11,431001,25-02-2026,27-02-2026,31,0,medical,normal,1,170,4,0,23,80.91,5.86
hh-000096,dist-6,431001,15-02-2026,20-02-2026,41,1,bpl,emergency,1,47,21,0,41,98.53,7.84
hh-000097,dist-14,422001,20-02-2026,20-02-2026,36,0,regular,normal,1,36,37,0,27,51.09,16.74
hh-000098,dist-8,422001,15-01-2026,16-01-2026,72,1,regular,normal,1,73,38,0,72,72.76,12.83
hh-000099,dist-13,440001,31-01-2026,04-02-2026,56,0,regular,alert,1,18,56,0,55,66.39,18.71
hh-000100,dist-13,416001,11-01-2026,12-01-2026,76,0,regular,normal,1,166,59,1,71,63.56,18.24
hh-000101,dist-14,440001,05-02-2026,07-02-2026,51,1,bpl,alert,1,51,10,0,50,92.42,6.76
hh-000102,dist-12,416001,13-03-2026,18-03-2026,15,0,regular,normal,1,52,78,0,5,47.75,25.74
hh-000103,dist-16,422001,18-01-2026,21-01-2026,69,0,regular,normal,1,170,80,0,59,55.26,23.06
hh-000104,dist-15,416001,20-02-2026,20-02-2026,36,1,bpl,normal,1,123,5,0,32,96.08,4.7
hh-000105,dist-20,440001,01-02-2026,05-02-2026,55,0,regular,normal,1,123,117,1,45,59.06,30.57
hh-000106,dist-5,400001,08-01-2026,12-01-2026,79,0,regular,alert,1,173,23,0,72,67.87,9.07
hh-000107,dist-6,431001,28-02-2026,02-03-2026,28,1,bpl,normal,1,169,83,0,23,93.99,20.34
hh-000108,dist-9,416001,10-03-2026,13-03-2026,18,0,regular,normal,1,177,19,1,14,50.07,9.33
hh-000109,dist-5,440001,12-02-2026,17-02-2026,44,1,regular,normal,1,40,86,0,34,78.51,23.57
hh-000110,dist-14,440001,06-03-2026,06-03-2026,22,1,bpl,normal,2,132,25,0,20,83.88,9.33
hh-000111,dist-17,440001,28-02-2026,04-03-2026,28,0,regular,normal,1,41,77,0,26,59.59,25.66
hh-000112,dist-6,416001,05-03-2026,08-03-2026,23,1,bpl,normal,1,80,97,0,16,83.3,24.44
hh-000113,dist-7,431001,03-02-2026,04-02-2026,53,0,regular,normal,1,136,68,0,51,59.93,16.34
hh-000114,dist-9,400001,13-03-2026,14-03-2026,15,0,regular,normal,1,39,37,0,13,37.76,20.66
hh-000115,dist-14,400001,28-02-2026,01-03-2026,28,1,regular,normal,1,21,51,0,25,75.75,18.69
hh-000116,dist-1,431001,01-02-2026,05-02-2026,55,0,regular,normal,1,81,118,1,53,57.25,27.87
hh-000117,dist-1,400001,16-01-2026,19-01-2026,71,1,medical,normal,1,116,15,0,68,99.6,5.48
hh-000118,dist-20,422001,18-02-2026,19-02-2026,38,0,medical,normal,1,155,31,0,34,75.01,11.09
hh-000119,dist-19,422001,27-02-2026,02-03-2026,29,1,bpl,normal,2,147,65,0,21,85.25,15.68
hh-000120,dist-2,416001,27-02-2026,01-03-2026,29,1,bpl,alert,1,69,94,0,28,95.88,19.97
hh-000121,dist-5,400001,29-01-2026,01-02-2026,58,1,bpl,normal,1,130,81,0,56,95.38,19.57
hh-000122,dist-2,431001,01-03-2026,03-03-2026,27,1,bpl,alert,1,109,105,0,23,100,23.49
hh-000123,dist-12,400001,27-02-2026,02-03-2026,29,0,regular,normal,1,120,115,2,24,61.62,27.78
hh-000124,dist-12,440001,24-02-2026,26-02-2026,32,1,bpl,normal,2,54,70,0,31,94.15,19.69
hh-000125,dist-15,440001,23-02-2026,23-02-2026,33,1,regular,normal,1,98,79,3,29,72.47,17.96
hh-000126,dist-3,416001,10-02-2026,15-02-2026,46,0,regular,alert,2,44,109,0,39,64.46,29.52
hh-000127,dist-12,431001,10-02-2026,12-02-2026,46,1,bpl,normal,2,103,57,0,37,91.48,15.17
hh-000128,dist-9,411001,19-02-2026,24-02-2026,37,1,regular,normal,2,38,34,0,30,78.21,15.68
hh-000129,dist-16,411001,22-01-2026,26-01-2026,65,0,medical,normal,1,30,104,0,60,76.9,26.2
hh-000130,dist-18,431001,18-01-2026,21-01-2026,69,0,regular,normal,1,100,66,0,66,57.77,17.51
hh-000131,dist-1,431001,17-02-2026,21-02-2026,39,0,regular,alert,1,30,9,0,32,56.24,10.49
hh-000132,dist-3,411001,10-02-2026,10-02-2026,46,0,regular,normal,1,149,82,0,44,48.98,23.84
hh-000133,dist-4,440001,08-02-2026,12-02-2026,48,1,medical,normal,1,140,115,0,47,99.98,27.13
hh-000134,dist-9,411001,12-02-2026,16-02-2026,44,0,regular,normal,1,156,20,0,35,56,7.51
hh-000135,dist-2,400001,04-03-2026,06-03-2026,24,0,medical,alert,1,154,54,0,24,76.38,14.72
hh-000136,dist-10,422001,23-02-2026,25-02-2026,33,1,bpl,normal,1,48,57,0,26,90.56,18.64
hh-000137,dist-11,416001,04-02-2026,04-02-2026,52,0,regular,normal,1,35,41,0,51,56.67,18.09
hh-000138,dist-2,431001,12-01-2026,16-01-2026,75,0,regular,normal,2,91,120,0,70,57.87,30.19
hh-000139,dist-15,422001,26-02-2026,03-03-2026,30,0,regular,normal,1,69,28,0,30,61.44,12.49
hh-000140,dist-16,431001,24-01-2026,28-01-2026,63,0,regular,normal,1,111,47,0,63,54.62,14.61
hh-000141,dist-10,400001,29-01-2026,31-01-2026,58,1,bpl,normal,1,164,16,0,57,83.4,8.18
hh-000142,dist-18,431001,20-02-2026,24-02-2026,36,1,regular,normal,1,43,92,0,29,74.75,25.14
hh-000143,dist-5,431001,14-02-2026,16-02-2026,42,0,regular,normal,1,159,44,0,34,50.85,14.26
hh-000144,dist-16,400001,16-02-2026,20-02-2026,40,1,bpl,emergency,1,169,4,0,36,100,2.26
hh-000145,dist-19,411001,13-02-2026,13-02-2026,43,0,regular,normal,1,105,19,1,40,66.54,9.2
hh-000146,dist-7,400001,07-03-2026,11-03-2026,21,1,bpl,normal,1,164,118,0,21,78.67,25.56
hh-000147,dist-11,416001,22-02-2026,26-02-2026,34,0,regular,emergency,1,147,46,0,24,65.18,12.18
hh-000148,dist-16,411001,16-01-2026,21-01-2026,71,1,regular,normal,2,81,91,0,64,75.49,23.97
hh-000149,dist-9,431001,08-01-2026,10-01-2026,79,0,medical,normal,1,45,38,0,78,77.54,15.43
hh-000150,dist-16,411001,08-02-2026,09-02-2026,48,1,bpl,alert,1,165,95,0,45,100,22.02
hh-000151,dist-8,400001,09-02-2026,12-02-2026,47,0,medical,normal,1,148,119,0,37,87.54,25.57
hh-000152,dist-7,431001,14-03-2026,15-03-2026,14,1,bpl,alert,1,144,95,0,14,78.12,22.27
hh-000153,dist-2,422001,25-01-2026,27-01-2026,62,1,regular,alert,1,17,2,0,53,91.92,10.1
hh-000154,dist-15,416001,27-01-2026,01-02-2026,60,0,regular,alert,1,57,104,0,58,62.32,25.64
hh-000155,dist-6,400001,04-02-2026,09-02-2026,52,0,regular,normal,1,171,115,0,46,55.3,28.51
hh-000156,dist-4,411001,24-03-2026,24-03-2026,4,0,regular,alert,1,122,97,0,0,26.95,29.52
hh-000157,dist-9,416001,22-02-2026,24-02-2026,34,1,bpl,normal,1,136,119,1,30,86.91,24.86
hh-000158,dist-12,440001,23-02-2026,24-02-2026,33,0,bpl,normal,2,103,54,0,26,69.33,12.56
hh-000159,dist-8,416001,23-02-2026,24-02-2026,33,0,regular,normal,1,27,118,0,33,61.1,29.64
hh-000160,dist-19,440001,12-03-2026,13-03-2026,16,0,medical,normal,1,157,63,0,8,62.73,17.75
hh-000161,dist-17,422001,31-01-2026,02-02-2026,56,1,regular,normal,1,109,33,1,53,75.93,10.31
hh-000162,dist-3,440001,17-01-2026,20-01-2026,70,0,regular,normal,1,112,24,0,60,62.71,9.49
hh-000163,dist-12,422001,14-03-2026,17-03-2026,14,0,bpl,normal,2,146,18,0,9,59.24,12.06
hh-000164,dist-17,411001,21-03-2026,24-03-2026,7,1,regular,normal,1,180,93,0,0,44.9,25.75
hh-000165,dist-12,411001,12-03-2026,16-03-2026,16,0,bpl,alert,1,115,79,0,16,59.09,21.63
hh-000166,dist-2,422001,05-02-2026,06-02-2026,51,0,regular,normal,1,67,70,0,51,65.08,23.84
hh-000167,dist-19,431001,05-03-2026,09-03-2026,23,0,regular,alert,1,177,67,0,19,56.2,20.79
hh-000168,dist-6,416001,28-02-2026,01-03-2026,28,0,regular,normal,1,105,101,0,22,54.17,26.56
hh-000169,dist-18,422001,10-03-2026,11-03-2026,18,1,bpl,alert,1,22,72,0,12,79.99,21.8
hh-000170,dist-9,411001,27-02-2026,27-02-2026,29,1,bpl,normal,1,56,7,0,19,88.1,6.13
hh-000171,dist-7,440001,25-01-2026,26-01-2026,62,0,regular,normal,1,11,28,2,61,56.87,13.28
hh-000172,dist-20,416001,03-02-2026,06-02-2026,53,0,bpl,normal,1,144,84,0,49,63.73,24.1
hh-000173,dist-4,416001,27-02-2026,03-03-2026,29,0,regular,alert,1,152,111,0,27,68.05,26.95
hh-000174,dist-19,416001,26-02-2026,01-03-2026,30,1,bpl,normal,1,135,71,0,20,85.45,19.53
hh-000175,dist-16,422001,07-02-2026,12-02-2026,49,0,medical,normal,1,146,83,2,41,87.57,20.21
hh-000176,dist-2,400001,08-02-2026,11-02-2026,48,1,bpl,normal,1,137,59,0,39,82.95,12.5
hh-000177,dist-16,400001,19-02-2026,20-02-2026,37,0,medical,normal,1,81,3,0,27,71.41,6.93
hh-000178,dist-4,400001,04-03-2026,09-03-2026,24,1,regular,normal,1,109,11,0,18,70.11,6.88
hh-000179,dist-8,431001,26-01-2026,31-01-2026,61,0,regular,normal,1,31,52,0,53,51.37,20.15
hh-000180,dist-6,400001,17-02-2026,22-02-2026,39,0,regular,alert,1,32,115,0,39,64.09,34.55
hh-000181,dist-19,422001,03-03-2026,04-03-2026,25,0,bpl,normal,1,176,5,0,20,68.71,5.6
hh-000182,dist-13,400001,27-01-2026,27-01-2026,60,1,bpl,normal,1,146,43,0,58,90.54,9.14
hh-000183,dist-17,416001,28-01-2026,31-01-2026,59,1,regular,normal,1,165,77,0,54,80.14,19.21
hh-000184,dist-16,411001,10-02-2026,11-02-2026,46,0,bpl,normal,1,29,99,0,43,68.62,27.37
hh-000185,dist-13,416001,27-02-2026,02-03-2026,29,1,regular,normal,1,86,57,0,25,78.37,15.75
hh-000186,dist-15,440001,28-02-2026,28-02-2026,28,0,regular,normal,1,161,101,0,22,61.12,25.43
hh-000187,dist-18,411001,10-03-2026,10-03-2026,18,1,regular,normal,1,134,19,0,12,63.45,9.97
hh-000188,dist-12,431001,14-02-2026,16-02-2026,42,0,regular,normal,1,42,39,0,36,54.25,18.15
hh-000189,dist-15,431001,15-02-2026,17-02-2026,41,1,bpl,normal,1,162,89,0,36,90.77,21.9
hh-000190,dist-10,416001,05-03-2026,06-03-2026,23,0,regular,normal,1,108,47,0,14,55.26,19.88
hh-000191,dist-18,400001,23-02-2026,25-02-2026,33,0,regular,normal,1,25,105,1,27,55.98,29.69
hh-000192,dist-8,431001,15-03-2026,18-03-2026,13,0,regular,alert,2,130,75,0,5,49.16,19.67
hh-000193,dist-18,400001,18-02-2026,22-02-2026,38,0,regular,alert,1,29,14,0,28,61.77,10.74
hh-000194,dist-2,440001,04-02-2026,08-02-2026,52,0,regular,normal,2,118,14,0,48,58.16,10.6
hh-000195,dist-19,416001,03-02-2026,03-02-2026,53,0,regular,normal,1,136,20,0,53,53.67,9.84
hh-000196,dist-4,416001,06-03-2026,11-03-2026,22,0,medical,normal,1,129,13,0,15,71.58,8.02
hh-000197,dist-4,400001,09-03-2026,12-03-2026,19,0,regular,normal,2,70,67,0,17,42.95,22.55
hh-000198,dist-8,422001,26-02-2026,28-02-2026,30,1,regular,normal,1,58,58,0,24,79.78,17.17
hh-000199,dist-3,440001,01-03-2026,04-03-2026,27,0,medical,normal,1,75,86,1,19,83.39,21.15
hh-000200,dist-20,422001,14-02-2026,15-02-2026,42,0,regular,alert,1,84,118,0,41,61.37,27.9
hh-000201,dist-10,400001,25-02-2026,26-02-2026,31,1,bpl,normal,1,106,55,0,21,80.27,13.8
hh-000202,dist-18,411001,23-02-2026,27-02-2026,33,1,regular,normal,1,99,2,0,30,81.11,1
hh-000203,dist-16,422001,21-02-2026,23-02-2026,35,0,regular,alert,1,15,102,0,31,65.79,29.85
hh-000204,dist-6,422001,20-02-2026,25-02-2026,36,0,regular,normal,1,76,100,0,31,50.51,26.14
hh-000205,dist-15,440001,11-02-2026,12-02-2026,45,1,bpl,alert,1,16,58,0,44,83.14,21.18
hh-000206,dist-7,416001,13-02-2026,17-02-2026,43,0,regular,normal,1,43,101,0,40,58.77,26.49
hh-000207,dist-9,440001,03-03-2026,06-03-2026,25,0,regular,normal,1,139,116,0,24,58.39,30.41
hh-000208,dist-2,431001,04-03-2026,06-03-2026,24,1,regular,alert,1,71,98,1,18,73.76,24.97
hh-000209,dist-14,422001,13-03-2026,17-03-2026,15,0,regular,alert,1,79,89,2,10,40.56,25.7
hh-000210,dist-1,416001,08-02-2026,10-02-2026,48,0,medical,normal,1,144,51,0,42,82.12,12.07
hh-000211,dist-10,431001,01-02-2026,02-02-2026,55,1,regular,alert,1,20,6,0,48,92.16,8.38
hh-000212,dist-15,422001,09-02-2026,09-02-2026,47,0,medical,normal,1,174,39,0,43,83.15,11.93
hh-000213,dist-12,416001,02-03-2026,03-03-2026,26,1,regular,normal,1,67,55,0,25,80.55,15.95
hh-000214,dist-19,411001,28-02-2026,28-02-2026,28,0,regular,normal,1,116,89,0,27,57.23,23.86
hh-000215,dist-4,431001,30-01-2026,31-01-2026,57,1,bpl,normal,1,172,87,0,49,83.94,19.89
hh-000216,dist-15,431001,25-02-2026,28-02-2026,31,0,regular,normal,1,63,12,1,29,57.08,7.45
hh-000217,dist-12,422001,14-03-2026,16-03-2026,14,1,bpl,normal,1,161,93,0,14,73.38,20.93
hh-000218,dist-7,440001,12-02-2026,16-02-2026,44,1,regular,normal,1,69,64,0,41,71.63,18.33
hh-000219,dist-1,431001,16-02-2026,18-02-2026,40,1,regular,alert,1,52,98,0,39,84.49,25.18
hh-000220,dist-7,400001,03-03-2026,04-03-2026,25,0,regular,normal,1,114,55,0,24,50.85,15.49
hh-000221,dist-9,400001,31-01-2026,05-02-2026,56,1,bpl,normal,1,108,76,0,46,88.38,17.63
hh-000222,dist-14,416001,18-01-2026,18-01-2026,69,1,regular,normal,1,164,78,0,59,76.66,17.01
hh-000223,dist-1,416001,28-02-2026,28-02-2026,28,1,medical,normal,1,74,22,0,24,99.79,6.63
hh-000224,dist-11,422001,16-02-2026,17-02-2026,40,1,bpl,normal,1,124,66,0,33,90.53,15.26
hh-000225,dist-9,400001,05-02-2026,05-02-2026,51,0,regular,normal,1,11,32,0,46,55.31,17.29
hh-000226,dist-18,416001,25-02-2026,25-02-2026,31,0,regular,normal,1,77,106,0,26,61.38,28.6
hh-000227,dist-6,411001,15-03-2026,17-03-2026,13,0,regular,emergency,1,80,100,1,8,51.78,27.31
hh-000228,dist-7,431001,22-02-2026,22-02-2026,34,0,regular,normal,1,134,99,0,26,57.2,24.1
hh-000229,dist-14,400001,24-01-2026,25-01-2026,63,1,bpl,alert,2,8,98,0,59,98.9,27.73
hh-000230,dist-14,422001,03-03-2026,08-03-2026,25,0,regular,normal,1,67,115,1,19,52.83,28.77
hh-000231,dist-3,440001,15-03-2026,18-03-2026,13,1,medical,alert,1,119,85,2,10,82.98,23.19
hh-000232,dist-11,431001,10-03-2026,14-03-2026,18,1,regular,emergency,1,35,20,0,11,72.01,11.86
hh-000233,dist-12,411001,14-03-2026,16-03-2026,14,0,regular,alert,1,85,106,0,5,51.36,28.11
hh-000234,dist-5,400001,17-03-2026,17-03-2026,11,0,regular,normal,1,52,4,2,4,28.25,10.17
hh-000235,dist-15,400001,29-01-2026,29-01-2026,58,1,regular,normal,2,41,26,1,53,73.33,9.02
hh-000236,dist-19,440001,16-03-2026,16-03-2026,12,1,bpl,normal,2,121,104,0,7,73.86,27.38
hh-000237,dist-6,440001,26-02-2026,26-02-2026,30,1,bpl,normal,1,98,28,1,26,87.45,11.66
hh-000238,dist-20,440001,24-01-2026,28-01-2026,63,0,regular,normal,1,30,36,0,57,59.6,18.99
hh-000239,dist-8,416001,26-02-2026,01-03-2026,30,0,regular,normal,1,130,70,0,25,61.03,18.19
hh-000240,dist-9,411001,31-01-2026,31-01-2026,56,0,medical,normal,1,128,68,0,47,90.81,16.33
hh-000241,dist-8,416001,06-02-2026,07-02-2026,50,1,bpl,alert,1,64,74,1,44,90.32,21.4
hh-000242,dist-6,411001,20-01-2026,23-01-2026,67,0,regular,normal,1,98,73,0,58,64.22,18.55
hh-000243,dist-18,431001,15-02-2026,20-02-2026,41,1,medical,normal,1,130,1,0,32,100,2.96
hh-000244,dist-6,431001,10-03-2026,13-03-2026,18,1,medical,normal,1,142,111,0,17,80.31,28.33
hh-000245,dist-19,400001,06-02-2026,10-02-2026,50,1,bpl,emergency,1,171,63,0,48,98.63,12.85
